#Downloaded 28 Jan 2017 - ensembl GrCh37 biomart http://grch37.ensembl.org/biomart/martview/7137c8b25d15c013f241a06dab9bdb9f
GeneID	GeneStart	GeneEnd	Strand	AssociatedGeneName	HGNCsymbol	Chromosome_scaffold name
ENSG00000233273	97225913	97226753	1	AMMECR1LP1	AMMECR1LP1	13
ENSG00000205822	24982295	25171814	1	TPTE2P6	TPTE2P6	13
ENSG00000235137	97536096	97542067	-1	HSP90AB6P	HSP90AB6P	13
ENSG00000243300	97593535	97636426	-1	LINC00359	LINC00359	13
ENSG00000266216	25129366	25129451	-1	AL359538.2		13
ENSG00000244615	25140981	25144866	1	PSPC1P2	PSPC1P2	13
ENSG00000234267	97599891	97601181	-1	TULP3P1	TULP3P1	13
ENSG00000243008	25141011	25171814	1	RP11-556N21.1		13
ENSG00000272329	97600272	97601838	1	RP11-65L19.4		13
ENSG00000211508	25183217	25183313	1	AL359538.1		13
ENSG00000222472	97601503	97601787	-1	RN7SKP7	RN7SKP7	13
ENSG00000207474	25277694	25277803	-1	RNY1P7	RNY1P7	13
ENSG00000252154	97618195	97618268	-1	SNORD112		13
ENSG00000225404	25278476	25278926	-1	RPL26P34	RPL26P34	13
ENSG00000238522	97709633	97709734	1	snoU13		13
ENSG00000233124	97824723	97831876	-1	LINC00456	LINC00456	13
ENSG00000231417	25316815	25320322	1	IRX1P1	IRX1P1	13
ENSG00000202290	98015226	98015355	-1	RNA5SP37	RNA5SP37	13
ENSG00000271625	98127996	98128713	1	PSMA6P4	PSMA6P4	13
ENSG00000226695	25324795	25326309	-1	ANKRD20A10P	ANKRD20A10P	13
ENSG00000226134	98327265	98330217	-1	RP11-120E13.1		13
ENSG00000238407	98538063	98538166	1	snoU13		13
ENSG00000233291	98553907	98554542	1	RPL7AP61	RPL7AP61	13
ENSG00000270725	98591610	98605793	1	RP11-383H17.4		13
ENSG00000253771	25498815	25542625	-1	TPTE2P1	TPTE2P1	13
ENSG00000232217	98639204	98639470	-1	FTLP8	FTLP8	13
ENSG00000222969	98856089	98856446	-1	RN7SKP8	RN7SKP8	13
ENSG00000263399	98860778	98860854	1	MIR3170	MIR3170	13
ENSG00000269189	98885904	98886954	1	RP11-573N10.1		13
ENSG00000269599	98981909	98985490	-1	RP11-261P24.2		13
ENSG00000251299	25517713	25518636	1	SLC25A15P3	SLC25A15P3	13
ENSG00000231194	99087659	99088094	-1	FARP1-AS1	FARP1-AS1	13
ENSG00000271437	99205497	99206034	1	RP11-295B17.6		13
ENSG00000232858	25562715	25563063	-1	RPL34P27	RPL34P27	13
ENSG00000224418	99229498	99231084	1	STK24-AS1	STK24-AS1	13
ENSG00000256305	25715794	25716046	1	AL359757.1		13
ENSG00000217686	99262546	99263130	-1	NUS1P4	NUS1P4	13
ENSG00000234056	25746966	25754217	-1	AMER2-AS1	AMER2-AS1	13
ENSG00000233549	99281940	99282243	-1	CYCSP35	CYCSP35	13
ENSG00000238169	25755579	25763898	1	LINC01053	LINC01053	13
ENSG00000233662	99293068	99293493	-1	CALM2P4	CALM2P4	13
ENSG00000225105	25767245	25784433	-1	LINC01076	LINC01076	13
ENSG00000243366	99324234	99324529	1	RN7SL60P	RN7SL60P	13
ENSG00000235315	25780187	25780644	1	RPL23AP69	RPL23AP69	13
ENSG00000229918	99484338	99486883	1	DOCK9-AS1	DOCK9-AS1	13
ENSG00000261530	75610476	75660403	-1	BTC	BTC	HG706_PATCH
ENSG00000221324	25820669	25820753	1	AL590787.1		13
ENSG00000260509	25874262	25875576	-1	RP11-271M24.2		13
ENSG00000231981	99601973	99602701	-1	RPL7L1P12	RPL7L1P12	13
ENSG00000234152	25939937	25940293	-1	TCEB2P1	TCEB2P1	13
ENSG00000265546	26027137	26027428	-1	RN7SL289P	RN7SL289P	13
ENSG00000260666	75418301	75455198	-1	AC142293.3		HG706_PATCH
ENSG00000207298	99677488	99677599	1	RNU6-83P	RNU6-83P	13
ENSG00000199767	26091257	26091363	1	RNU6-78P	RNU6-78P	13
ENSG00000260992	99740073	99740879	1	DOCK9-AS2	DOCK9-AS2	13
ENSG00000180803	26437388	26437805	-1	RP11-467D10.2		13
ENSG00000230871	99825847	99826744	1	RPS6P23	RPS6P23	13
ENSG00000242381	26518632	26518891	1	RN7SL741P	RN7SL741P	13
ENSG00000260334	39868578	39872221	1	GAST	GAST	HG185_PATCH
ENSG00000223158	26524842	26524959	-1	RNY1P3	RNY1P3	13
ENSG00000231983	26626414	26627523	-1	LINC00415	LINC00415	13
ENSG00000234005	99842833	99843245	-1	GAPDHP22	GAPDHP22	13
ENSG00000228889	99848631	99852964	-1	UBAC2-AS1	UBAC2-AS1	13
ENSG00000233963	26688547	26728313	-1	ATP8A2P3	ATP8A2P3	13
ENSG00000201793	99857962	99858260	1	RN7SKP9	RN7SKP9	13
ENSG00000218502	99867626	99868012	-1	H2AFZP3	H2AFZP3	13
ENSG00000207719	100008385	100008482	1	MIR623	MIR623	13
ENSG00000234706	26691686	26693102	-1	PRUNEP1	PRUNEP1	13
ENSG00000228808	100024427	100024940	1	HMGB3P4	HMGB3P4	13
ENSG00000271559	26803469	26803781	-1	RP11-380N8.6		13
ENSG00000238241	100060035	100061316	-1	CCR12P	CCR12P	13
ENSG00000227882	26808350	26811266	1	PRKRIRP6	PRKRIRP6	13
ENSG00000266207	100105650	100105723	-1	AL583784.1		13
ENSG00000203441	100151981	100153306	-1	LINC00449	LINC00449	13
ENSG00000234031	27151023	27151812	1	RPS3AP44	RPS3AP44	13
ENSG00000212197	100188573	100188650	-1	RNY3P6	RNY3P6	13
ENSG00000234168	100229366	100232622	1	LINC01039	LINC01039	13
ENSG00000237001	27180681	27215501	-1	WASF3-AS1	WASF3-AS1	13
ENSG00000234239	100234960	100235434	1	CFL1P8	CFL1P8	13
ENSG00000230256	27479499	27479998	1	FGFR1OP2P1	FGFR1OP2P1	13
ENSG00000223782	27551680	27551926	1	RPS21P8	RPS21P8	13
ENSG00000263615	100295313	100295403	1	MIR4306	MIR4306	13
ENSG00000218198	27591688	27592046	-1	RPS20P32	RPS20P32	13
ENSG00000227659	100342335	100343225	-1	CLYBL-AS2	CLYBL-AS2	13
ENSG00000232162	27736992	27743272	1	USP12-AS1	USP12-AS1	13
ENSG00000234303	100378501	100379745	-1	CLYBL-AS1	CLYBL-AS1	13
ENSG00000230641	27746396	27757135	1	USP12-AS2	USP12-AS2	13
ENSG00000234772	27810419	27810948	-1	LINC00412	LINC00412	13
ENSG00000201245	100436111	100436237	-1	SNORA25		13
ENSG00000238305	100436308	100436411	-1	snoU13		13
ENSG00000207500	27829201	27829272	1	SNORD102	SNORD102	13
ENSG00000260738	100647153	100650163	-1	LINC00554	LINC00554	13
ENSG00000207051	27829538	27829663	1	SNORA27	SNORA27	13
ENSG00000221756	27894150	27894296	1	AL159977.1		13
ENSG00000225999	100680023	100680428	-1	NDUFA12P1	NDUFA12P1	13
ENSG00000252247	27917785	27917883	-1	RNU6-70P	RNU6-70P	13
ENSG00000229609	27947485	27948503	1	LINC01079	LINC01079	13
ENSG00000236554	100714550	100715855	-1	ASNSP3	ASNSP3	13
ENSG00000201242	27976613	27976724	-1	RNY1P1	RNY1P1	13
ENSG00000203602	28008286	28008752	-1	AL137059.1		13
ENSG00000252499	28062275	28062369	1	RNU6-63P	RNU6-63P	13
ENSG00000228501	100802735	100803346	-1	RPL15P18	RPL15P18	13
ENSG00000226703	28270530	28271341	-1	NPM1P4	NPM1P4	13
ENSG00000261125	39873994	39890896	-1	HAP1	HAP1	HG185_PATCH
ENSG00000270632	100850441	100850723	-1	RP11-340C20.3		13
ENSG00000207330	28402900	28403006	1	RNU6-73P	RNU6-73P	13
ENSG00000234650	101116694	101133411	-1	PCCA-AS1	PCCA-AS1	13
ENSG00000247381	28407581	28495541	-1	PDX1-AS1	PDX1-AS1	13
ENSG00000260704	28527663	28529507	1	LINC00543	LINC00543	13
ENSG00000242360	28563435	28563721	-1	RN7SL272P	RN7SL272P	13
ENSG00000224356	101187995	101232371	-1	RP11-151A6.4		13
ENSG00000271026	28641724	28642471	1	KATNBL1P1	KATNBL1P1	13
ENSG00000235115	28681568	28682014	1	CHCHD2P8	CHCHD2P8	13
ENSG00000234354	101192089	101192528	-1	RPS26P47	RPS26P47	13
ENSG00000261485	28710980	28712330	-1	PAN3-AS1	PAN3-AS1	13
ENSG00000237082	101276129	101276683	-1	COX5BP6	COX5BP6	13
ENSG00000232587	28788650	28790034	1	EEF1A1P3	EEF1A1P3	13
ENSG00000200840	28806638	28806744	1	RNU6-82P	RNU6-82P	13
ENSG00000233009	101360579	101711638	1	NALCN-AS1	NALCN-AS1	13
ENSG00000235472	29172970	29174189	1	EIF4A1P7	EIF4A1P7	13
ENSG00000202237	29277839	29277944	-1	RNU6-53P	RNU6-53P	13
ENSG00000214051	101408805	101409313	-1	ARF4P3	ARF4P3	13
ENSG00000233588	29296523	29298158	-1	CYP51A1P2	CYP51A1P2	13
ENSG00000229599	101593116	101596618	-1	LINC00411	LINC00411	13
ENSG00000236339	29352695	29353074	1	POM121L13P	POM121L13P	13
ENSG00000272349	102369198	102369728	-1	RP11-397O8.7		13
ENSG00000221670	29796699	29796778	1	AL596092.1		13
ENSG00000201155	102431234	102431398	-1	RNU1-24P	RNU1-24P	13
ENSG00000236758	29813516	29824691	-1	MTUS2-AS2	MTUS2-AS2	13
ENSG00000215399	102454228	102454838	1	HMGB3P7	HMGB3P7	13
ENSG00000265164	102619992	102620096	-1	MIR2681	MIR2681	13
ENSG00000223460	29880915	29881922	1	GAPDHP69	GAPDHP69	13
ENSG00000229975	102654475	102655660	1	LIPT1P1	LIPT1P1	13
ENSG00000270680	29913703	29914006	-1	RP11-351N4.4		13
ENSG00000201690	102669303	102669419	-1	RNY1P2	RNY1P2	13
ENSG00000179141	30050652	30064242	-1	MTUS2-AS1	MTUS2-AS1	13
ENSG00000264482	102698284	102698354	-1	MIR4705	MIR4705	13
ENSG00000236860	102915396	102915552	-1	RPL39P29	RPL39P29	13
ENSG00000236258	30440096	30440306	-1	TIMM8BP1	TIMM8BP1	13
ENSG00000224329	30446750	30462542	-1	LINC00297	LINC00297	13
ENSG00000243319	102944677	103046869	-1	FGF14-IT1	FGF14-IT1	13
ENSG00000224405	30492784	30500788	-1	LINC00572	LINC00572	13
ENSG00000234445	103019889	103026016	1	FGF14-AS1	FGF14-AS1	13
ENSG00000122043	30510042	30524625	1	LINC00544	LINC00544	13
ENSG00000272143	103046980	103048053	1	FGF14-AS2	FGF14-AS2	13
ENSG00000266505	30596158	30597937	-1	RP11-629E24.2		13
ENSG00000270581	103053821	103054807	-1	RP11-811P12.3		13
ENSG00000261057	103241722	103242163	-1	LINC00555	LINC00555	13
ENSG00000224511	30677315	30683012	-1	LINC00365	LINC00365	13
ENSG00000269942	103331776	103332308	1	RP11-29B2.5		13
ENSG00000232117	30726023	30733758	-1	LINC00384	LINC00384	13
ENSG00000238869	103374152	103374255	1	snoU13		13
ENSG00000231633	103395340	103397574	1	LINC00283	LINC00283	13
ENSG00000232643	30728203	30728723	1	LINC00385	LINC00385	13
ENSG00000222301	103472343	103472419	1	RNY5P8	RNY5P8	13
ENSG00000266816	30780753	30780836	-1	AL356750.1		13
ENSG00000252928	30855902	30856006	1	RNU6-64P	RNU6-64P	13
ENSG00000250878	103532449	103548383	1	METTL21EP	METTL21EP	13
ENSG00000215049	30870284	30870872	1	PRDX2P1	PRDX2P1	13
ENSG00000272542	103541208	103542184	1	RP11-255P5.2		13
ENSG00000236463	30890497	30894040	-1	LINC00427	LINC00427	13
ENSG00000234551	104077550	104080035	1	RP11-123H22.1		13
ENSG00000230474	104096970	104097318	-1	ATP6V1G1P7	ATP6V1G1P7	13
ENSG00000225823	105466678	105467420	1	RPL7P45	RPL7P45	13
ENSG00000232307	106111404	106158030	-1	DAOA-AS1	DAOA-AS1	13
ENSG00000238121	30914407	30951282	-1	LINC00426	LINC00426	13
ENSG00000226620	106356629	106416789	1	LINC00343	LINC00343	13
ENSG00000225039	30993656	30996374	-1	LINC01058	LINC01058	13
ENSG00000261577	39910856	39943183	-1	JUP	JUP	HG185_PATCH
ENSG00000252550	106549872	106549992	-1	SNORA25		13
ENSG00000236444	31002084	31002656	1	UBE2L5P	UBE2L5P	13
ENSG00000222643	106780720	106780837	1	AL603632.1		13
ENSG00000222682	106807721	106807839	-1	RNA5SP38	RNA5SP38	13
ENSG00000213411	31113734	31117598	-1	RBM22P2	RBM22P2	13
ENSG00000233532	107028911	107030565	1	LINC00460	LINC00460	13
ENSG00000232489	31115780	31117034	-1	MFAP1P1	MFAP1P1	13
ENSG00000174418	107078121	107078470	1	RPL35P9	RPL35P9	13
ENSG00000224117	31127807	31128830	1	PTPN2P2	PTPN2P2	13
ENSG00000272274	107270158	107283707	1	LINC00551	LINC00551	13
ENSG00000230156	107306264	107324511	1	LINC00443	LINC00443	13
ENSG00000237879	31377343	31384782	1	LINC00398	LINC00398	13
ENSG00000227590	107315785	107316195	1	ATP5G1P5	ATP5G1P5	13
ENSG00000174408	107516164	107516634	-1	PPIAP24	PPIAP24	13
ENSG00000224743	31456070	31507983	-1	TEX26-AS1	TEX26-AS1	13
ENSG00000196777	107594562	107594907	-1	AL162574.1		13
ENSG00000239050	107627286	107627374	-1	AL354741.1		13
ENSG00000221316	107773381	107773471	1	AL445204.1		13
ENSG00000201847	107973243	107973311	-1	SNORD31		13
ENSG00000221650	108183519	108183596	-1	MIR1267	MIR1267	13
ENSG00000221473	108288379	108288464	1	AL138710.1		13
ENSG00000227248	108440690	108487799	-1	FAM155A-IT1	FAM155A-IT1	13
ENSG00000223177	108953560	108953679	-1	RNA5SP39	RNA5SP39	13
ENSG00000232087	109132574	109134165	1	HCFC2P1	HCFC2P1	13
ENSG00000229938	109753609	109754267	-1	MYO16-AS2	MYO16-AS2	13
ENSG00000236094	31456688	31457532	1	LINC00545	LINC00545	13
ENSG00000236242	109816250	109853831	-1	MYO16-AS1	MYO16-AS1	13
ENSG00000238185	31547426	31551760	-1	RP11-252M21.6		13
ENSG00000223617	109934321	109940081	1	LINC00370	LINC00370	13
ENSG00000230233	19986749	20022678	1	AF240627.2		21
ENSG00000230403	31569299	31570275	-1	LINC01066	LINC01066	13
ENSG00000236053	109962483	109964121	1	LINC01067	LINC01067	13
ENSG00000261163	39958199	39968855	-1	LEPREL4		HG185_PATCH
ENSG00000265841	20058408	20058482	-1	MIR548X	MIR548X	21
ENSG00000231894	31651391	31689836	1	WDR95P	WDR95P	13
ENSG00000229792	110053043	110053988	1	LINC00399	LINC00399	13
ENSG00000221041	20076689	20076772	-1	AP001537.1		21
ENSG00000234854	110380629	110382354	1	LINC00676	LINC00676	13
ENSG00000198618	20230097	20230594	1	PPIAP22	PPIAP22	21
ENSG00000229427	31885426	31887058	1	ANKRD26P4	ANKRD26P4	13
ENSG00000255813	110407168	110407615	-1	AL162497.1		13
ENSG00000201161	110567443	110567767	1	RN7SKP10	RN7SKP10	13
ENSG00000231428	110705632	110707299	1	LINC00396	LINC00396	13
ENSG00000232193	20290252	20308177	-1	AL157359.4		21
ENSG00000229715	32420978	32527609	1	EEF1DP3	EEF1DP3	13
ENSG00000226204	20325582	20339376	-1	AL157359.3		21
ENSG00000265885	110750200	110750498	-1	RN7SL783P	RN7SL783P	13
ENSG00000238629	111066552	111066653	1	snoU13		13
ENSG00000235965	20418629	20420003	-1	AP000431.1		21
ENSG00000224821	111108743	111115634	-1	COL4A2-AS2	COL4A2-AS2	13
ENSG00000235822	32559822	32565134	1	LINC01073	LINC01073	13
ENSG00000229289	20502841	20506741	1	AP000431.2		21
ENSG00000237637	32599451	32605776	-1	FRY-AS1	FRY-AS1	13
ENSG00000232814	111154922	111160526	-1	COL4A2-AS1	COL4A2-AS1	13
ENSG00000226818	20616860	20618709	1	SLC6A6P1	SLC6A6P1	21
ENSG00000230633	32872291	32872849	1	RP11-37E23.5		13
ENSG00000255831	111291555	111292340	1	AL139385.1		13
ENSG00000231620	20673930	20676056	1	AP000855.4		21
ENSG00000215515	32958797	32960245	1	IFIT1P1	IFIT1P1	13
ENSG00000225239	111415021	111415480	-1	RPL21P107	RPL21P107	13
ENSG00000212609	20717465	20717629	1	RNU1-139P	RNU1-139P	21
ENSG00000259831	111462023	111465431	-1	LINC00567	LINC00567	13
ENSG00000212293	32994527	32994653	-1	SNORA16		13
ENSG00000230198	20966155	20966422	1	RPL37P4	RPL37P4	21
ENSG00000270008	32999495	33007091	-1	RP11-298P3.4		13
ENSG00000229152	111547406	111551519	-1	ANKRD10-IT1	ANKRD10-IT1	13
ENSG00000271486	20993009	20993859	1	AP000403.3		21
ENSG00000229336	21112023	21112464	1	AP000568.2		21
ENSG00000229800	33051411	33052978	1	ATP8A2P2	ATP8A2P2	13
ENSG00000227105	111589106	111592131	1	PARP1P1	PARP1P1	13
ENSG00000215353	21131673	21132442	-1	C1QBPP	C1QBPP	21
ENSG00000233480	21265593	21272069	-1	AP000946.2		21
ENSG00000225760	111635654	111642911	1	LINC00431	LINC00431	13
ENSG00000233236	21629065	21631133	-1	AP001171.1		21
ENSG00000225870	111748185	111755444	1	LINC00368	LINC00368	13
ENSG00000251851	21728060	21728164	-1	RNU6-772P	RNU6-772P	21
ENSG00000252963	21728965	21729208	1	RN7SKP147	RN7SKP147	21
ENSG00000235875	111766159	111768025	-1	ARHGEF7-AS2	ARHGEF7-AS2	13
ENSG00000207325	33337576	33337690	-1	RNY1P4	RNY1P4	13
ENSG00000233676	21760646	21761157	1	FDPSP6	FDPSP6	21
ENSG00000226968	33451569	33485788	-1	LINC00423	LINC00423	13
ENSG00000233644	111774999	111796611	1	ARHGEF7-IT1	ARHGEF7-IT1	13
ENSG00000234439	21797261	21798518	-1	KRT18P2	KRT18P2	21
ENSG00000227352	111796652	111797080	-1	ARHGEF7-AS1	ARHGEF7-AS1	13
ENSG00000227604	33528195	33528539	-1	TOMM22P3	TOMM22P3	13
ENSG00000233206	21802755	21803074	-1	RPS3AP1	RPS3AP1	21
ENSG00000221677	33615489	33615580	1	AL161898.1		13
ENSG00000215881	112248356	112294426	1	RP11-65D24.1		13
ENSG00000230300	33732724	33738546	-1	STARD13-IT1	STARD13-IT1	13
ENSG00000261258	39968962	39979465	1	FKBP10	FKBP10	HG185_PATCH
ENSG00000226903	112554299	112555490	1	LINC00354	LINC00354	13
ENSG00000224924	22114908	22175534	-1	LINC00320	LINC00320	21
ENSG00000264989	112563079	112563148	-1	AL136302.1		13
ENSG00000200072	112706392	112706452	1	SNORD44		13
ENSG00000260385	112737863	112739785	1	RP11-450H6.3		13
ENSG00000229520	112760409	112761196	-1	LINC00404	LINC00404	13
ENSG00000215351	22200445	22200940	-1	PPIAP1	PPIAP1	21
ENSG00000224243	112761433	112762329	1	LINC00403	LINC00403	13
ENSG00000226771	22595616	22599150	-1	AP001136.2		21
ENSG00000260102	112851664	112855314	1	LINC01070	LINC01070	13
ENSG00000221210	22770068	22770146	-1	AP001137.1		21
ENSG00000234730	22939084	22987758	1	AF241725.4		21
ENSG00000260343	112967781	112976072	1	LINC01043	LINC01043	13
ENSG00000198434	23006773	23007049	-1	AF241725.1		21
ENSG00000223626	112976881	112985539	-1	LINC01044	LINC01044	13
ENSG00000237527	23027359	23058649	-1	AF241725.6		21
ENSG00000264726	113372159	113372228	-1	AL162711.1		13
ENSG00000232684	113399763	113409007	-1	ATP11A-AS1	ATP11A-AS1	13
ENSG00000238265	23095613	23109639	-1	LINC00317	LINC00317	21
ENSG00000234603	113539551	113539994	1	AL356740.1		13
ENSG00000236581	33845516	33855471	1	STARD13-AS	STARD13-AS	13
ENSG00000267868	113619149	113620445	-1	RP11-120K24.3		13
ENSG00000188403	20169919	20170354	-1	IGHV1OR15-9	IGHV1OR15-9	15
ENSG00000235280	113621798	113623138	-1	MCF2L-AS1	MCF2L-AS1	13
ENSG00000269356	113663092	113663738	1	RP11-120K24.4		13
ENSG00000233997	23119293	23169735	1	AP000475.2		21
ENSG00000269376	113663985	113664633	1	RP11-120K24.5		13
ENSG00000231882	113782469	113783194	-1	F10-AS1	F10-AS1	13
ENSG00000230371	113784730	113786368	1	KARSP2	KARSP2	13
ENSG00000259490	20192909	20193370	-1	IGHV3OR15-7	IGHV3OR15-7	15
ENSG00000269125	113819316	113819497	-1	RP11-98F14.11		13
ENSG00000227075	23305635	23348000	-1	AP000472.3		21
ENSG00000232662	113930931	113932049	1	LDHBP1	LDHBP1	13
ENSG00000270961	20209093	20209115	-1	IGHD5OR15-5A	IGHD5OR15-5A	15
ENSG00000225083	114005988	114016183	1	GRTP1-AS1	GRTP1-AS1	13
ENSG00000233215	23381263	23470778	-1	AP000472.2		21
ENSG00000233613	114123216	114130450	1	DCUN1D2-AS	DCUN1D2-AS	13
ENSG00000271317	20210050	20210068	-1	IGHD4OR15-4A	IGHD4OR15-4A	15
ENSG00000202347	114133230	114133393	-1	RNU1-16P	RNU1-16P	13
ENSG00000227208	114451484	114454062	-1	LINC00552	LINC00552	13
ENSG00000270783	20211158	20211188	-1	IGHD3OR15-3A	IGHD3OR15-3A	15
ENSG00000233695	114518603	114542321	1	GAS6-AS1	GAS6-AS1	13
ENSG00000271197	20213655	20213685	-1	IGHD2OR15-2A	IGHD2OR15-2A	15
ENSG00000272695	114567141	114569806	1	GAS6-AS2	GAS6-AS2	13
ENSG00000184856	23470936	23488847	1	LINC00308	LINC00308	21
ENSG00000227911	33907816	33909414	-1	RP11-141M1.1		13
ENSG00000237699	114580581	114582349	1	RP11-199F6.4		13
ENSG00000271336	20216406	20216422	-1	IGHD1OR15-1A	IGHD1OR15-1A	15
ENSG00000264288	33911020	33911109	-1	AL138999.1		13
ENSG00000265259	21852889	21853170	-1	RN7SL247P	RN7SL247P	18
ENSG00000260753	39981433	39992515	-1	NT5C3B	NT5C3B	HG185_PATCH
ENSG00000234340	23507018	23508403	-1	AP000705.8		21
ENSG00000230490	33929343	34250905	-1	RP11-141M1.3		13
ENSG00000212051	21901650	21901699	1	MIR320C2	MIR320C2	18
ENSG00000226921	114581673	114586624	-1	LINC00454	LINC00454	13
ENSG00000264365	21944751	21947948	1	RP11-621L6.2		18
ENSG00000273321	21982117	21982678	1	RP11-621L6.3		18
ENSG00000234535	34185104	34185659	1	RP11-37L2.1		13
ENSG00000232986	34231573	34234065	1	RP11-179A7.2		13
ENSG00000199636	22009469	22009573	1	Y_RNA		18
ENSG00000265094	22015328	22019602	1	RP11-178F10.1		18
ENSG00000252397	34403676	34403786	-1	RNU5A-4P	RNU5A-4P	13
ENSG00000263663	34486129	34486218	1	AL161891.1		13
ENSG00000227254	34656566	34657447	-1	VDAC1P12	VDAC1P12	13
ENSG00000229373	114586640	114626485	1	LINC00452	LINC00452	13
ENSG00000199196	34674848	34674975	-1	SNORA25		13
ENSG00000215405	20737094	20747114	-1	GOLGA6L6	GOLGA6L6	15
ENSG00000271850	34922180	35188307	1	RP11-16D22.2		13
ENSG00000225179	35009587	35214822	-1	LINC00457	LINC00457	13
ENSG00000231136	23526270	23526619	-1	AP000705.6		21
ENSG00000260910	114629487	114631817	-1	LINC00565	LINC00565	13
ENSG00000271901	35120066	35245319	-1	RP11-266E6.3		13
ENSG00000202339	23577511	23577651	1	RNU4-45P	RNU4-45P	21
ENSG00000232487	114873044	114874295	-1	RASA3-IT1	RASA3-IT1	13
ENSG00000226043	23582258	23793139	1	AP000705.7		21
ENSG00000231910	35148341	35148803	-1	GAMTP2	GAMTP2	13
ENSG00000264539	115009980	115010036	1	MIR548AR	MIR548AR	13
ENSG00000261728	35499971	35502213	-1	RP11-307O13.1		13
ENSG00000223488	23808610	23810669	-1	MAPK6PS2	MAPK6PS2	21
ENSG00000265450	115039303	115039383	1	MIR4502	MIR4502	13
ENSG00000232795	35759431	35760816	1	SCAND3P1	SCAND3P1	13
ENSG00000226158	115072121	115072541	1	CLCP2	CLCP2	13
