gene_id,ensembl_gene_id,hgnc_symbol,chromosome_name,start_position,end_position
21873,ENSG00000230156,LINC00443,13,107306264,107324511
24844,ENSG00000237879,LINC00398,13,31377343,31384782
20910,ENSG00000227590,ATP5G1P5,13,107315785,107316195
19791,ENSG00000224743,TEX26-AS1,13,31456070,31507983
20779,ENSG00000227248,FAM155A-IT1,13,108440690,108487799
19248,ENSG00000223177,RNA5SP39,13,108953560,108953679
24134,ENSG00000236094,LINC00545,13,31456688,31457532
24190,ENSG00000236242,MYO16-AS1,13,109816250,109853831
24965,ENSG00000238185,,13,31547426,31551760
19358,ENSG00000223617,LINC00370,13,109934321,109940081
21902,ENSG00000230233,,21,19986749,20022678
21731,ENSG00000229792,LINC00399,13,110053043,110053988
23660,ENSG00000234854,LINC00676,13,110380629,110382354
16577,ENSG00000198618,PPIAP22,21,20230097,20230594
21602,ENSG00000229427,ANKRD26P4,13,31885426,31887058
29233,ENSG00000255813,,13,110407168,110407615
21700,ENSG00000229715,EEF1DP3,13,32420978,32527609
19824,ENSG00000224821,COL4A2-AS2,13,111108743,111115634
24749,ENSG00000237637,FRY-AS1,13,32599451,32605776
22885,ENSG00000232814,COL4A2-AS1,13,111154922,111160526
22056,ENSG00000230633,,13,32872291,32872849
29240,ENSG00000255831,,13,111291555,111292340
18714,ENSG00000215515,IFIT1P1,13,32958797,32960245
30885,ENSG00000259831,LINC00567,13,111462023,111465431
17983,ENSG00000212293,,13,32994527,32994653
33995,ENSG00000270008,,13,32999495,33007091
21493,ENSG00000229152,ANKRD10-IT1,13,111547406,111551519
21566,ENSG00000229336,,21,21112023,21112464
21734,ENSG00000229800,ATP8A2P2,13,33051411,33052978
20191,ENSG00000225760,LINC00431,13,111635654,111642911
23047,ENSG00000233236,,21,21629065,21631133
20235,ENSG00000225870,LINC00368,13,111748185,111755444
24049,ENSG00000235875,ARHGEF7-AS2,13,111766159,111768025
23206,ENSG00000233644,ARHGEF7-IT1,13,111774999,111796611
20820,ENSG00000227352,ARHGEF7-AS1,13,111796652,111797080
21924,ENSG00000230300,STARD13-IT1,13,33732724,33738546
20627,ENSG00000226903,LINC00354,13,112554299,112555490
19869,ENSG00000224924,LINC00320,21,22114908,22175534
31168,ENSG00000260385,,13,112737863,112739785
21630,ENSG00000229520,LINC00404,13,112760409,112761196
19594,ENSG00000224243,LINC00403,13,112761433,112762329
31035,ENSG00000260102,LINC01070,13,112851664,112855314
19360,ENSG00000223626,LINC01044,13,112976881,112985539
22835,ENSG00000232684,ATP11A-AS1,13,113399763,113409007
23559,ENSG00000234603,,13,113539551,113539994
24340,ENSG00000236581,STARD13-AS,13,33845516,33855471
33400,ENSG00000267868,,13,113619149,113620445
23829,ENSG00000235280,MCF2L-AS1,13,113621798,113623138
33771,ENSG00000269356,,13,113663092,113663738
33776,ENSG00000269376,,13,113663985,113664633
22540,ENSG00000231882,F10-AS1,13,113782469,113783194
21955,ENSG00000230371,KARSP2,13,113784730,113786368
33718,ENSG00000269125,,13,113819316,113819497
22827,ENSG00000232662,LDHBP1,13,113930931,113932049
19925,ENSG00000225083,GRTP1-AS1,13,114005988,114016183
23037,ENSG00000233215,,21,23381263,23470778
23192,ENSG00000233613,DCUN1D2-AS,13,114123216,114130450
16878,ENSG00000202347,RNU1-16P,13,114133230,114133393
20759,ENSG00000227208,LINC00552,13,114451484,114454062
23221,ENSG00000233695,GAS6-AS1,13,114518603,114542321
34930,ENSG00000272695,GAS6-AS2,13,114567141,114569806
21021,ENSG00000227911,,13,33907816,33909414
21995,ENSG00000230490,,13,33929343,34250905
20634,ENSG00000226921,LINC00454,13,114581673,114586624
32386,ENSG00000264365,,18,21944751,21947948
35256,ENSG00000273321,,18,21982117,21982678
23535,ENSG00000234535,,13,34185104,34185659
21578,ENSG00000229373,LINC00452,13,114586640,114626485
34533,ENSG00000271850,,13,34922180,35188307
31435,ENSG00000260910,LINC00565,13,114629487,114631817
22756,ENSG00000232487,RASA3-IT1,13,114873044,114874295
31853,ENSG00000261728,,13,35499971,35502213
19309,ENSG00000223488,MAPK6PS2,21,23808610,23810669
22878,ENSG00000232795,SCAND3P1,13,35759431,35760816
20351,ENSG00000226158,CLCP2,13,115072121,115072541
23652,ENSG00000234835,PHBP13,13,35825207,35825966
33521,ENSG00000268343,,15,21004687,21005367
24114,ENSG00000236036,LINC00445,13,36271661,36273393
23842,ENSG00000235306,GAPDHP34,13,37314178,37315000
24380,ENSG00000236711,SMAD9-AS1,13,37423503,37424183
20352,ENSG00000226161,EIF4A1P5,13,37512537,37513631
16882,ENSG00000202395,RN7SKP1,13,37740489,37740795
21916,ENSG00000230283,RPS12P24,13,37794997,37795383
23349,ENSG00000234034,,21,23872924,23892377
21960,ENSG00000230390,LINC01048,13,38055604,38058906
21065,ENSG00000228036,HSPD1P9,13,38567222,38568857
19381,ENSG00000223685,LINC00571,13,38624954,38717369
24237,ENSG00000236354,LINC00437,13,39107480,39119436
21274,ENSG00000228592,,21,24733426,24757182
20033,ENSG00000225350,FREM2-AS1,13,39395935,39401707
7309,ENSG00000138593,SECISBP2L,15,49280673,49338760
22083,ENSG00000230710,LINC00332,13,40755946,40763165
34403,ENSG00000271429,RPL17P51,13,40798762,40798999
33557,ENSG00000268531,,15,22011370,22012050
21832,ENSG00000230058,,13,40918094,40924440
18707,ENSG00000215483,LINC00598,13,41025131,41055143
21609,ENSG00000229456,RLIMP1,13,41192875,41195485
17732,ENSG00000207652,MIR621,13,41384902,41384997
11878,ENSG00000168852,TPTE2P5,13,41396432,41495890
13318,ENSG00000176268,CYCSP34,13,41437735,41438038
25203,ENSG00000239827,SUGT1P3,13,41482295,41495910
21615,ENSG00000229473,RGS17P1,13,41566915,41567467
18706,ENSG00000215482,CALM2P3,13,41744836,41745284
25031,ENSG00000238651,,13,41754117,41754223
19947,ENSG00000225133,MORF4L1P4,13,41773968,41774943
32444,ENSG00000264695,,18,22069339,22071044
32769,ENSG00000266489,,18,22096847,22097970
17403,ENSG00000205240,OR7E36P,13,42005425,42006446
24691,ENSG00000237484,,21,25801054,25920256
32584,ENSG00000265485,,18,22208146,22242162
23581,ENSG00000234655,OR7E155P,13,42013952,42015035
18704,ENSG00000215480,OR7E37P,13,42016906,42017786
32786,ENSG00000266573,,18,22305745,22509040
32347,ENSG00000264190,MIR5006,13,42142422,42142531
32381,ENSG00000264345,,18,22513451,22567646
21530,ENSG00000229248,WBP2P1,18,22596398,22597168
22408,ENSG00000231530,,13,42617863,42618383
24592,ENSG00000237263,MAPK6PS3,13,42643068,42645229
23411,ENSG00000234213,FHP1,13,42830009,42830711
15708,ENSG00000188985,DHFRP1,18,23749724,23751313
34339,ENSG00000271216,LINC01050,13,43384502,43386698
24906,ENSG00000238025,ZDHHC4P1,13,43507994,43509028
32265,ENSG00000263829,FAM60BP,18,23835662,23836319
21782,ENSG00000229928,LINC00400,13,43732767,43733602
22782,ENSG00000232540,RPL36P19,13,43968661,43968961
32717,ENSG00000266237,,18,23845973,23847373
24967,ENSG00000238189,ENOX1-AS2,13,44032601,44033259
32478,ENSG00000264911,,18,23928311,23928968
34172,ENSG00000270522,,13,44361727,44361988
32273,ENSG00000263862,,18,24002959,24006065
23231,ENSG00000233725,LINC00284,13,44482850,44604597
32270,ENSG00000263846,CIAPIN1P,18,24179372,24180302
31162,ENSG00000260372,AQP4-AS1,18,24235706,24770662
13879,ENSG00000179611,DGKZP1,13,44542560,44545335
11839,ENSG00000168675,LDLRAD4,18,13217497,13652754
20483,ENSG00000226519,LINC00390,13,44680514,44711372
20785,ENSG00000227258,SMIM2-AS1,13,44716682,44813010
32563,ENSG00000265369,,18,24267585,24283602
23831,ENSG00000235285,SMIM2-IT1,13,44720606,44732358
22094,ENSG00000230731,,13,44808254,44817328
24638,ENSG00000237361,LINC01071,13,44974386,44980120
32565,ENSG00000265374,,18,24805706,24827152
22118,ENSG00000230793,SMARCE1P5,13,45168994,45170218
15712,ENSG00000188992,LIPI,21,15481134,15583166
24729,ENSG00000237585,LINC00407,13,45225948,45275152
23757,ENSG00000235097,LINC00330,13,45373639,45383766
32650,ENSG00000265802,RN7SL49P,13,45576285,45576580
27965,ENSG00000253051,,13,45910449,45910582
16734,ENSG00000199477,SNORA31,13,45911615,45911744
35167,ENSG00000273149,,13,45914174,45915318
14928,ENSG00000185272,RBM11,21,15588451,15600693
14435,ENSG00000182974,OR4M2,15,22368478,22369561
14601,ENSG00000183706,OR4N4,15,22382382,22383507
12311,ENSG00000170919,TPT1-AS1,13,45915480,45965872
20708,ENSG00000227090,,21,26258990,26275070
34168,ENSG00000270505,IGHV1OR15-1,15,22448382,22448819
30531,ENSG00000259261,IGHV4OR15-8,15,22472918,22473353
9392,ENSG00000155304,HSPA13,21,15743436,15755805
21401,ENSG00000228886,,13,45924458,45925485
16216,ENSG00000197414,GOLGA6L1,15,22736246,22746002
23864,ENSG00000235366,LINC01055,13,46255225,46256554
24842,ENSG00000237876,AKR1B1P4,13,46261683,46262604
24061,ENSG00000235903,CPB2-AS1,13,46626941,46687467
19182,ENSG00000222042,,21,26541745,26706139
25430,ENSG00000240767,RN7SL288P,13,46743594,46743883
27952,ENSG00000252854,RN7SKP5,13,46824077,46824348
31539,ENSG00000261097,LINC00563,13,46870580,46871979
19260,ENSG00000223336,RNU2-6P,13,46948536,46948725
11236,ENSG00000166200,COPS2,15,49398268,49447858
9393,ENSG00000155307,SAMSN1,21,15857549,15955723
25564,ENSG00000241353,PPP1R2P4,13,46917102,47012325
26050,ENSG00000243440,,21,15964251,16031142
22514,ENSG00000231817,,13,47029270,47060641
20674,ENSG00000227019,OR7E101P,13,47034744,47035256
17376,ENSG00000205105,COX17P1,13,47064997,47065397
21268,ENSG00000228573,,13,48399465,48410091
9206,ENSG00000153575,TUBGCP5,15,22833395,22873892
31169,ENSG00000260388,LINC00562,13,48504290,48506757
21000,ENSG00000227848,SUCLA2-AS1,13,48575525,48576688
21481,ENSG00000229111,MED4-AS1,13,48651273,48654127
22384,ENSG00000231473,LINC00441,13,48870649,48877797
32339,ENSG00000264151,,18,24916343,25175128
24929,ENSG00000238086,PPP1R26P1,13,48890999,48894611
13463,ENSG00000177197,PCNPP5,13,48902220,48902700
23140,ENSG00000233456,LINC01077,13,49144775,49147453
14026,ENSG00000180530,NRIP1,21,16333556,16437321
23190,ENSG00000233610,LINC00462,13,49151110,49152224
32463,ENSG00000264790,,18,24923216,24926074
19946,ENSG00000225131,PSME2P2,13,49345264,49345965
32219,ENSG00000263611,,18,24977916,24981868
19397,ENSG00000223724,RAD17P2,13,49618215,49620930
24083,ENSG00000235957,COX7CP1,13,49761615,49761806
22455,ENSG00000231665,OGFOD1P1,13,49784558,49786430
20792,ENSG00000227279,,18,25534483,25543651
24339,ENSG00000236577,SNRPGP14,13,50063106,50063500
7170,ENSG00000137824,RMDN3,15,41028082,41048049
14163,ENSG00000181358,CTAGE10P,13,50464727,50467134
30655,ENSG00000259458,,15,62929371,62937490
31745,ENSG00000261521,,18,28638806,28639359
22434,ENSG00000231607,DLEU2,13,50601269,50699856
32658,ENSG00000265888,,18,28681551,28742752
18325,ENSG00000213885,RPL13AP7,21,26734135,26734745
32237,ENSG00000263698,,18,28711419,28712457
14960,ENSG00000185433,LINC00158,21,26758133,26804013
32816,ENSG00000266729,,18,28923331,29006951
21795,ENSG00000229962,,21,26887785,26890650
17660,ENSG00000207019,RNU6-167P,18,28925325,28925430
18467,ENSG00000214359,RPL18P10,13,50673467,50674004
23668,ENSG00000234883,MIR155HG,21,26934221,26947480
32777,ENSG00000266521,,18,29076608,29077158
22639,ENSG00000232150,ST13P4,13,50746225,50747317
31270,ENSG00000260583,LINC00515,21,26955082,26955638
32472,ENSG00000264859,,18,29122109,29136874
24785,ENSG00000237731,RNGTTP1,21,27015801,27016528
20688,ENSG00000227054,FDX1P2,21,27064492,27064866
23920,ENSG00000235514,,21,27135249,27135644
21559,ENSG00000229323,,13,51095069,51101585
30974,ENSG00000259985,,18,29265618,29266786
7188,ENSG00000137880,GCHFR,15,41056218,41059906
23252,ENSG00000233783,,21,27306373,27315001
24547,ENSG00000237152,DLEU7-AS1,13,51381992,51423190
32287,ENSG00000263924,,18,29424351,29425141
19706,ENSG00000224541,,21,27530409,27548142
35342,ENSG00000273492,,21,27543189,27589700
23212,ENSG00000233672,RNASEH2B-AS1,13,51450822,51484848
32263,ENSG00000263823,,18,29522538,29524119
22839,ENSG00000232692,,21,27750871,27844017
32286,ENSG00000263917,,18,29598792,29691742
32493,ENSG00000265008,,18,29671258,29672082
32177,ENSG00000263393,,18,29702363,29704441
32548,ENSG00000265279,,18,29775989,29776929
32283,ENSG00000263904,,18,29825909,29828995
32490,ENSG00000264982,,18,29867400,29870303
18708,ENSG00000215492,HNRNPA1P7,18,29991471,29993167
2660,ENSG00000104129,DNAJC17,15,41060067,41099675
13454,ENSG00000177150,FAM210A,18,13663346,13726662
5121,ENSG00000123201,GUCY1B2,13,51568647,51654998
9394,ENSG00000155313,USP25,21,17102344,17252377
16377,ENSG00000197934,,21,27765954,27941571
35148,ENSG00000273115,,21,27832222,27832533
19342,ENSG00000223563,,21,28261695,28312061
22293,ENSG00000231236,,21,28731204,28820898
24230,ENSG00000236332,,21,28733483,28768106
20579,ENSG00000226792,LINC00371,13,51656984,51746524
33962,ENSG00000269965,,13,51935701,51936371
34042,ENSG00000270101,,13,51936795,51937579
2444,ENSG00000101638,ST8SIA5,18,44259081,44339220
24410,ENSG00000236778,INTS6-AS1,13,52026503,52126500
22791,ENSG00000232560,C21orf37,21,18811208,18821503
19856,ENSG00000224892,RPS4XP16,13,52028300,52035451
26178,ENSG00000243900,RN7SL320P,13,52043886,52044181
19670,ENSG00000224451,ATP5F1P1,13,52172552,52173596
22528,ENSG00000231856,,13,52378433,52387356
22904,ENSG00000232872,CTAGE3P,13,52482354,52484757
24116,ENSG00000236044,FABP5P2,13,52540878,52541285
9319,ENSG00000154639,CXADR,21,18884700,18965897
26039,ENSG00000243406,MRPS31P5,13,52741844,52768600
2446,ENSG00000101654,RNMT,18,13726659,13764557
1325,ENSG00000078043,PIAS2,18,44388353,44500123
34739,ENSG00000272281,TPTE2P2,13,52793479,52908412
9554,ENSG00000156958,GALK2,15,49447853,49660066
9320,ENSG00000154640,BTG3,21,18965971,18985265
23074,ENSG00000233300,EIF4A1P1,21,28739333,28740266
34345,ENSG00000271236,SUMO2P15,15,41052795,41053072
18819,ENSG00000217026,RPL10P1,21,28792699,28793342
31574,ENSG00000261183,,15,41128006,41136585
20014,ENSG00000225298,LINC00113,21,29094698,29123552
27664,ENSG00000251161,,15,41199009,41201540
13681,ENSG00000178457,LINC00314,21,29385682,29395552
30755,ENSG00000259617,,15,41291472,41297063
22615,ENSG00000232079,,21,29420733,29509930
30697,ENSG00000259521,,15,41309005,41320091
9778,ENSG00000158901,WFDC8,20,44179792,44207965
7585,ENSG00000140416,TPM1,15,63334831,63364114
9567,ENSG00000157021,FAM92A1P1,15,41455360,41456572
9321,ENSG00000154642,C21orf91,21,19161284,19191703
26585,ENSG00000247556,OIP5-AS1,15,41576188,41601901
26030,ENSG00000243355,,18,30359002,30359249
32252,ENSG00000263765,,18,30413417,30518280
32192,ENSG00000263450,,18,30534039,30537962
33350,ENSG00000267746,,18,31802929,31804725
33257,ENSG00000267585,,18,32153951,32154487
33655,ENSG00000268873,,18,32317759,32347627
33574,ENSG00000268573,,18,32860831,32870165
29698,ENSG00000257267,ZNF271,18,32870246,32890730
33256,ENSG00000267583,,18,33023833,33047052
32894,ENSG00000266965,,18,33175865,33177563
33150,ENSG00000267397,,18,33296334,33297942
7620,ENSG00000140577,CRTC3,15,91073157,91188577
11214,ENSG00000166140,ZFYVE19,15,41099284,41106767
33277,ENSG00000267627,,18,33531766,33546081
31255,ENSG00000260552,,18,33759959,33767411
33153,ENSG00000267404,,18,33853537,33854562
33186,ENSG00000267456,,18,33858698,33859082
2331,ENSG00000101138,CSTF1,20,54967427,54979518
33291,ENSG00000267651,,18,34814082,34816205
9322,ENSG00000154645,CHODL,21,19273580,19639690
33328,ENSG00000267707,,18,34823739,34827179
33036,ENSG00000267202,,18,34853669,34856535
33572,ENSG00000268566,,18,36235173,36267962
33138,ENSG00000267374,LINC00669,18,36786888,37380282
13989,ENSG00000180305,WFDC10A,20,44258165,44259835
13251,ENSG00000175886,RPL7AP66,18,36914836,36915639
991,ENSG00000068793,CYFIP1,15,22892005,23006016
30889,ENSG00000259838,TCEB1P2,15,41849225,41849633
33157,ENSG00000267413,,18,37421138,37504804
13955,ENSG00000180083,WFDC11,20,44277202,44298909
16507,ENSG00000198384,TPTE2P3,13,53063128,53161222
31447,ENSG00000260926,,15,41901664,41904925
31386,ENSG00000260814,,15,42062954,42064930
27364,ENSG00000250379,,15,42117297,42120134
14425,ENSG00000182931,WFDC10B,20,44313292,44333658
33101,ENSG00000267313,,18,39047395,39212149
9323,ENSG00000154646,TMPRSS15,21,19641433,19858197
16778,ENSG00000200293,RNA5SP393,15,42144111,42144227
30864,ENSG00000259792,,15,78285747,78287631
12947,ENSG00000174171,,15,42184991,42190773
11832,ENSG00000168634,WFDC13,20,44330655,44337456
34600,ENSG00000272003,,15,42188137,42189031
31483,ENSG00000260988,,15,78433585,78435515
30912,ENSG00000259883,,15,42213615,42221081
32968,ENSG00000267088,,18,39669276,39669716
26539,ENSG00000246740,,15,42264961,42291292
29871,ENSG00000257797,,15,42298330,42302315
34798,ENSG00000272418,,15,78573292,78574532
30723,ENSG00000259562,,15,78582869,78583563
30566,ENSG00000259322,,15,78585628,78588391
31872,ENSG00000261762,,15,78881465,78883618
33258,ENSG00000267586,LINC00907,18,39739247,40271387
30719,ENSG00000259555,,15,78918237,78920535
2399,ENSG00000101365,IDH3B,20,2639041,2644865
27328,ENSG00000250299,MRPS31P4,13,53191693,53211581
31634,ENSG00000261303,,15,78952986,79027837
11485,ENSG00000167216,KATNAL2,18,44497455,44627658
5203,ENSG00000124116,WFDC3,20,44376583,44420571
8829,ENSG00000150276,PPIAP26,13,53394632,53395153
24532,ENSG00000237092,LINC01065,13,53720674,53725943
20101,ENSG00000225510,PCDH8P1,13,53774116,53776547
1661,ENSG00000087589,CASS4,20,54987168,55034396
26129,ENSG00000243711,RPL21P116,15,79155589,79156071
24319,ENSG00000236532,,21,29488413,29600986
27897,ENSG00000252061,RNU6-415P,15,79191182,79191278
13555,ENSG00000177699,,15,79271231,79278268
6850,ENSG00000136149,RPL13AP25,13,55014839,55015450
31490,ENSG00000261002,,15,42500611,42519188
9324,ENSG00000154654,NCAM2,21,22370633,22915650
22898,ENSG00000232855,,21,29811667,30047170
31262,ENSG00000260571,,15,42605885,42606584
20639,ENSG00000226935,LINC00161,21,29911640,29912677
30512,ENSG00000259234,,15,79484049,79576287
18605,ENSG00000215005,HSPD1P7,21,30259602,30261594
11215,ENSG00000166143,PPP1R14D,15,41107650,41120907
18673,ENSG00000215317,THUMPD1P1,21,30274101,30276019
13278,ENSG00000176054,RPL23P2,21,30369934,30370354
30105,ENSG00000258461,,15,42640301,42704515
35221,ENSG00000273254,,21,30396576,30397211
30626,ENSG00000259419,HNRNPCP3,15,79528674,79529548
22247,ENSG00000231125,,21,30430394,30432416
22838,ENSG00000232687,RPL12P9,21,30500022,30500509
31846,ENSG00000261712,,15,79705700,79706228
19750,ENSG00000224649,,21,30554348,30560116
11250,ENSG00000166262,FAM227B,15,49619159,49913128
18716,ENSG00000215533,LINC00189,21,30565801,30660526
20890,ENSG00000227528,DIAPH3-AS1,13,60586885,60618491
13294,ENSG00000176136,MC5R,18,13824154,13826861
20411,ENSG00000226332,,20,60880488,60881381
20813,ENSG00000227336,LINC00434,13,60788486,60789080
24975,ENSG00000238213,TARDBPP2,13,60848910,60850140
21371,ENSG00000228812,,20,60928051,60931536
21516,ENSG00000229207,SERPINH1P1,9,34318405,34319653
14915,ENSG00000185231,MC2R,18,13882043,13915706
22961,ENSG00000233017,,20,61004604,61006568
34624,ENSG00000272050,,20,61052926,61053650
22092,ENSG00000230729,,9,34521525,34524239
2627,ENSG00000103642,LACTB,15,63413999,63434260
31250,ENSG00000260542,,20,61088965,61091152
22946,ENSG00000232983,,9,34546522,34546994
24121,ENSG00000236056,GAPDHP14,21,30594642,30595578
12983,ENSG00000174403,C20orf166-AS1,20,61141550,61148733
24551,ENSG00000237159,CNTFR-AS1,9,34568013,34582827
26741,ENSG00000248476,BACH1-IT1,21,30723955,30734215
16182,ENSG00000197299,BLM,15,91260558,91358859
35102,ENSG00000273017,,21,30731323,30731774
17741,ENSG00000207764,MIR133A2,20,61162119,61162220
21841,ENSG00000230074,,9,34665662,34681295
20330,ENSG00000226094,RPL7P3,20,61169878,61170591
32407,ENSG00000264490,,20,61172797,61174714
9328,ENSG00000154719,MRPL39,21,26957968,26979829
22880,ENSG00000232803,,20,61294371,61298076
33158,ENSG00000267414,,18,42256892,42259682
13151,ENSG00000175322,ZNF519,18,14057456,14132489
19376,ENSG00000223669,,20,61363918,61366699
2337,ENSG00000101160,CTSZ,20,57570240,57582302
21325,ENSG00000228705,LINC00659,20,61405480,61406764
32976,ENSG00000267097,,18,43003729,43063183
13720,ENSG00000178723,GLULP4,9,34917172,34918293
21762,ENSG00000229873,OGFR-AS1,20,61431979,61436939
389,ENSG00000022277,RTFDC1,20,55043647,55093943
23268,ENSG00000233838,DPH3P1,20,61476490,61477543
23011,ENSG00000233148,SYF2P2,9,35010700,35011282
25616,ENSG00000241568,RN7SL338P,9,35049268,35049558
24316,ENSG00000236527,ARF4P2,20,61503602,61504428
23398,ENSG00000234181,,9,35096375,35098138
22628,ENSG00000232118,BACH1-AS1,21,30742340,30743547
21374,ENSG00000228817,BACH1-IT2,21,30742944,30746029
34727,ENSG00000272259,,20,61640735,61716423
32896,ENSG00000266968,,18,43226118,43227895
33031,ENSG00000267193,,18,43249332,43327180
11216,ENSG00000166145,SPINT1,15,41136216,41150405
35325,ENSG00000273464,,21,31029726,31030151
30715,ENSG00000259548,,15,80124808,80125896
